,annualized_excess_return,information_ratio,max_drawdown
SiteE2E-MDScaledMW-eta=0.5,0.03308179116612887,0.38343208416571284,-0.10515577097997195
SiteE2E-MDScaledMW-eta=1,0.03308468554414695,0.38346455860270345,-0.10515355324610179
SiteE2E-MDScaledMW-eta=2.5,0.03309850166057945,0.38361879139528043,-0.10515395827513786
SiteE2E-MDScaledMW-eta=5,0.017134618855949652,0.20147278686228698,-0.1023491586132621
SiteE2E-MDScaledMW-eta=10,-0.051165255349669876,-0.7233859976390068,-0.10359897255590111
